r,g,b,y
0.5570602,0.59575,0.34790263,0
0.624188,0.66168296,0.40191776,0
0.5878576,0.6409907,0.36594644,0
0.6270131,0.6697275,0.4145536,0
0.62521887,0.6535607,0.41792822,0
0.52896994,0.60798204,0.39013913,0
0.574203,0.6155935,0.35431498,0
0.62119955,0.6595775,0.4079421,0
0.57559896,0.6171695,0.3546735,0
0.47522157,0.55793303,0.32041997,0
0.6308489,0.68510467,0.4281866,0
0.53384924,0.57912415,0.3350521,0
0.61258554,0.65278304,0.39604527,0
0.6485713,0.68834853,0.43221706,0
0.59497076,0.63809353,0.37725672,0
0.55949277,0.59427434,0.37201732,0
0.59489036,0.64204174,0.39459112,0
0.5165415,0.60223335,0.37068552,0
0.549416,0.6380918,0.41833875,0
0.5435163,0.6181026,0.39911714,0
0.5164324,0.5875824,0.37326273,0
0.59751636,0.64920187,0.38994014,0
0.6168562,0.65410554,0.40868694,0
0.5316744,0.6111093,0.38723096,0
0.5440378,0.63267165,0.40603048,0
0.56261677,0.5931143,0.37865415,0
0.6244539,0.66585827,0.40057945,0
0.5457944,0.57533073,0.35617265,0
0.5282449,0.60836726,0.3860671,0
0.59658265,0.64275473,0.38557395,0
0.6163991,0.6614023,0.41461873,0
0.5998251,0.67714983,0.40912375,0
0.59912694,0.6435562,0.38783905,0
0.6435799,0.67551494,0.42376146,0
0.5457594,0.63375586,0.4027545,0
0.6089605,0.6414793,0.3934899,0
0.62455004,0.6556219,0.41010368,0
0.6353929,0.6749835,0.4274347,0
0.6602525,0.70509785,0.45336992,0
0.60401577,0.6373077,0.39758676,0
0.5265624,0.55752814,0.3259776,0
0.54512197,0.5878914,0.34877038,0
0.6005649,0.6383136,0.37581068,0
0.66067004,0.70717883,0.45140886,0
0.5660546,0.64942783,0.40893397,0
0.63254017,0.66549957,0.4100247,0
0.47174585,0.5480557,0.31768218,0
0.5063002,0.5879482,0.36379716,0
0.5375722,0.60931605,0.37895587,0
0.5175433,0.59921336,0.38619286,0
0.5237034,0.567244,0.33290485,0
0.6416203,0.66926575,0.41990188,0
0.65629464,0.6844861,0.43778488,0
0.62054414,0.65926945,0.4167751,0
0.5576853,0.6452697,0.41916203,0
0.6328003,0.67011654,0.42189214,0
0.53256434,0.61449015,0.38914564,0
0.5999087,0.65009946,0.38204628,0
0.5002764,0.58103025,0.3518119,0
0.55569893,0.63433886,0.39418635,0
0.5319936,0.57161295,0.33050638,0
0.64479035,0.6781806,0.43674994,0
0.5317645,0.6179664,0.37352228,0
0.5730476,0.62467486,0.36776868,0
0.6290441,0.6836612,0.43779838,0
0.6348044,0.66458064,0.4167842,0
0.6186753,0.6522183,0.4026627,0
0.53037655,0.61450917,0.38037732,0
0.54024684,0.5738041,0.3559078,0
0.63282883,0.6674069,0.4137896,0
0.4919283,0.56742907,0.35180798,0
0.63183135,0.65778637,0.41902432,0
0.52705365,0.61560583,0.39638984,0
0.67723453,0.7133102,0.4564403,0
0.5961402,0.63946235,0.37190586,0
0.5815687,0.62899053,0.38508978,0
0.61354893,0.6534954,0.40596455,0
0.63202953,0.66457254,0.40174177,0
0.5938635,0.62482154,0.37068388,0
0.6474767,0.6795069,0.42559698,0
0.5993557,0.6338471,0.38662282,0
0.54480463,0.6201264,0.3949671,0
0.5441622,0.6359209,0.3875662,0
0.6231237,0.66817313,0.42034334,0
0.5860838,0.6464496,0.4074905,0
0.5040555,0.5803308,0.37196577,0
0.61794287,0.6611274,0.41765204,0
0.49596345,0.5656149,0.35963175,0
0.5329491,0.62378585,0.3989976,0
0.5496858,0.5831777,0.35086736,0
0.5404116,0.62102973,0.38173825,0
0.61788696,0.6559688,0.3936327,0
0.5333022,0.5724693,0.3319021,0
0.6139782,0.6443471,0.3898674,0
0.63250816,0.6652682,0.42365727,0
0.6454362,0.6748015,0.428615,0
0.5432273,0.6355942,0.4109566,0
0.63073075,0.6716496,0.4235924,0
0.530871,0.57807183,0.32877564,0
0.5038026,0.58772504,0.36371616,0
0.6259338,0.6675681,0.40377012,0
0.5316744,0.6111093,0.38723096,0
0.6163594,0.65914565,0.41068944,0
0.6039214,0.6405758,0.3852989,0
0.6192573,0.66083014,0.40280956,0
0.6211027,0.6627038,0.39774626,0
0.55199367,0.6424947,0.39448336,0
0.538081,0.6365232,0.39565277,0
0.52779925,0.603639,0.4008375,0
0.5298805,0.5729367,0.33335114,0
0.63280165,0.67303663,0.3939143,0
0.56261677,0.5931143,0.37865415,0
0.5401214,0.63430744,0.41051003,0
0.577355,0.6208147,0.35535118,0
0.56566083,0.64320225,0.4040107,0
0.65456724,0.6847597,0.431361,0
0.5285085,0.60414594,0.36916527,0
0.639712,0.6710002,0.4207641,0
0.54669046,0.5698762,0.33918417,0
0.5331766,0.61703914,0.3950359,0
0.58752924,0.6320092,0.3882545,0
0.5652159,0.61026776,0.35281944,0
0.613371,0.64756775,0.40096056,0
0.5445909,0.6255331,0.40054932,0
0.62905014,0.67060393,0.41989213,0
0.5322619,0.6053975,0.39271444,0
0.6187346,0.65163493,0.40420657,0
0.59100336,0.6296054,0.36107558,0
0.5424813,0.6365158,0.3967837,0
0.54144526,0.6358313,0.40420917,0
0.58671093,0.63847107,0.37688825,0
0.5109566,0.59621596,0.3725547,0
0.5489137,0.6380981,0.4028063,0
0.5280285,0.56480557,0.34868062,0
0.64268064,0.67059356,0.42399433,0
0.53923804,0.6234106,0.3884681,0
0.6219555,0.66522795,0.4260443,0
0.48952997,0.56832236,0.3611059,0
0.5455092,0.58479434,0.33934897,0
0.618553,0.6564334,0.41104522,0
0.54053473,0.5726719,0.35849175,0
0.6222997,0.65919864,0.4162955,0
0.49208748,0.5655491,0.34969264,0
0.5846344,0.6275292,0.36993146,0
0.5392358,0.63394314,0.39559075,0
0.54104733,0.5724439,0.35057816,0
0.5234848,0.59836394,0.40254226,0
0.53971744,0.63215184,0.39499065,0
0.5981579,0.6417327,0.40174928,0
0.6204617,0.6624156,0.4050945,0
0.5330785,0.61796993,0.3636243,0
0.54201186,0.6209382,0.41233388,0
0.63060623,0.67558235,0.42911983,0
0.60546046,0.64402884,0.40258098,0
0.62844014,0.66867644,0.40321052,0
0.54245925,0.6333252,0.406813,0
0.5249359,0.5639199,0.3253592,0
0.6134928,0.6521723,0.40844536,0
0.6501647,0.67857456,0.4411362,0
0.6359589,0.6777607,0.42209625,0
0.49073565,0.5918099,0.3951744,0
0.5423103,0.62614655,0.4007742,0
0.510771,0.60014516,0.35419062,0
0.6001637,0.6411644,0.39724645,0
0.5323808,0.615973,0.41676417,1
0.59392804,0.6648097,0.43057048,1
0.5876018,0.6412582,0.39684695,1
0.5545554,0.6214813,0.40215236,1
0.5944242,0.6543885,0.42580438,1
0.61191636,0.624205,0.44962132,1
0.58967644,0.6432387,0.39486656,1
0.5325188,0.61694574,0.38740227,1
0.5221923,0.58266485,0.39016488,1
0.62225246,0.63359326,0.43109518,1
0.6284163,0.6441677,0.47094905,1
0.63368225,0.6482029,0.46649736,1
0.6142334,0.62728775,0.4317019,1
0.5820268,0.59660006,0.40190175,1
0.61104786,0.66443694,0.42932576,1
0.5543041,0.62058276,0.43017045,1
0.57370466,0.64501774,0.44083208,1
0.6212311,0.6322968,0.43008277,1
0.55270565,0.6144641,0.42737946,1
0.58279926,0.6443975,0.41414583,1
0.58564997,0.6021376,0.4052865,1
0.6067785,0.62242,0.4267676,1
0.5611592,0.63502693,0.4115858,1
0.5665416,0.6328607,0.41077256,1
0.5861586,0.6359297,0.40660593,1
0.59978014,0.65458083,0.39969802,1
0.6162012,0.6376692,0.46134612,1
0.53677595,0.60940856,0.401271,1
0.5701358,0.6283886,0.4445689,1
0.536786,0.61553776,0.41247496,1
0.6103615,0.624408,0.4220212,1
0.6216629,0.62858504,0.42126018,1
0.6245901,0.638743,0.46137467,1
0.56746256,0.6231206,0.40294293,1
0.60965556,0.6155118,0.4162734,1
0.55625695,0.60946274,0.36387643,1
0.5388236,0.6238674,0.42454606,1
0.5980431,0.6112586,0.417988,1
0.6165478,0.62926835,0.42999402,1
0.56792253,0.62354296,0.4037991,1
0.5751691,0.63585883,0.44902626,1
0.5681872,0.6487363,0.41823456,1
0.572047,0.6394008,0.42286244,1
0.56693614,0.66239005,0.42880422,1
0.57904035,0.64979875,0.4024817,1
0.54902714,0.61178803,0.43229747,1
0.5741418,0.6352492,0.4467199,1
0.6198196,0.6304421,0.42142186,1
0.5649709,0.6334585,0.42772132,1
